+---------------------------------------+------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------+
| File                                  | Line | Method name                                                                                                                                                                                                                                 | Time(ms) |
| DataSource.swift                      | 25   | @objc func tableView(_ tableView: UITableView, cellForRowAt indexPath: IndexPath) -> UITableViewCell                                                                                                                                        | 16.5     |
| UIAlertController+Extensions.swift    | 4    | @objc dynamic static func alert(title: String, message: String?) -> UIAlertController                                                                                                                                                       | 16.1     |
| NoteButton.swift                      | 13   | func update<Type : Base>(for base: Type)                                                                                                                                                                                                    | 15.9     |
| TextFieldBehaviorHandler.swift        | 129  | func getNeighborTextField(for textField: UITextField) -> UITextField?                                                                                                                                                                       | 15.7     |
| Keyboard&KeyboardDelegate.swift       | 76   | @objc func createStacks()                                                                                                                                                                                                                   | 15.4     |
| LiftCell.swift                        | 90   | @objc func setupBottomContentView()                                                                                                                                                                                                         | 15.2     |
| WorkoutDetailVC.swift                 | 39   | (closure)                                                                                                                                                                                                                                   | 14.8     |
| DataSource.swift                      | 17   | @objc func initialSetup()                                                                                                                                                                                                                   | 14.4     |
| Workout.swift                         | 70   | @objc dynamic func object(at index: Int) -> Lift                                                                                                                                                                                            | 14.3     |
| LiftTableHeaderView.swift             | 74   | @objc override func getColumnView(columnNumber: Int) -> UIView                                                                                                                                                                              | 13.8     |
